"m"	"psipo"	"phipo"	"psinb"	"phinb"	"phinb.ind"	"psizip"	"phizip"	"psizinb"	"psizinb.ind"	"phizinb"	"phizinb.ind"
54.56	0.01507418	1	0.03665401	0.9428247	0.5146095	8.461461e-07	1	0.005663735	0.01152413	0.9506609	0.07790568
54.57	0.01506259	1	0.03664422	0.9428268	0.5146129	8.439804e-07	1	0.005662055	0.01152123	0.9506615	0.07790239
54.58	0.01505102	1	0.03663444	0.9428289	0.5146164	8.418202e-07	1	0.005660376	0.01151832	0.9506621	0.0778991
54.59	0.01503945	1	0.03662466	0.942831	0.5146198	8.396656e-07	1	0.005658697	0.01151542	0.9506627	0.07789581
54.6	0.01502789	1	0.03661489	0.942833	0.5146233	8.375164e-07	1	0.005657019	0.01151251	0.9506633	0.07789252
54.61	0.01501634	1	0.03660512	0.9428351	0.5146267	8.353728e-07	1	0.005655342	0.01150961	0.9506639	0.07788924
54.62	0.0150048	1	0.03659536	0.9428372	0.5146302	8.332347e-07	1	0.005653666	0.01150671	0.9506646	0.07788595
54.63	0.01499327	1	0.0365856	0.9428392	0.5146336	8.31102e-07	1	0.00565199	0.01150381	0.9506652	0.07788266
54.64	0.01498174	1	0.03657584	0.9428413	0.5146371	8.289748e-07	1	0.005650316	0.01150091	0.9506658	0.07787938
54.65	0.01497023	1	0.03656609	0.9428434	0.5146405	8.26853e-07	1	0.005648642	0.01149801	0.9506664	0.07787609
54.66	0.01495873	1	0.03655634	0.9428455	0.514644	8.247367e-07	1	0.005646969	0.01149511	0.950667	0.07787281
54.67	0.01494723	1	0.03654659	0.9428475	0.5146474	8.226258e-07	1	0.005645296	0.01149222	0.9506676	0.07786952
54.68	0.01493574	1	0.03653685	0.9428496	0.5146509	8.205202e-07	1	0.005643625	0.01148933	0.9506682	0.07786624
54.69	0.01492426	1	0.03652712	0.9428516	0.5146543	8.184201e-07	1	0.005641954	0.01148643	0.9506688	0.07786296
54.7	0.01491279	1	0.03651739	0.9428537	0.5146578	8.163254e-07	1	0.005640284	0.01148354	0.9506694	0.07785968
54.71	0.01490133	1	0.03650766	0.9428558	0.5146612	8.14236e-07	1	0.005638615	0.01148065	0.95067	0.0778564
54.72	0.01488988	1	0.03649794	0.9428578	0.5146646	8.121519e-07	1	0.005636947	0.01147776	0.9506706	0.07785312
